celltype	marker
Mesenchymal progenitor cells	PDGFRA,PDGFRB,SCA1,THY1
Adipose stem cells	MGP,APOD,CXCL14,WISP2
Adipocyte progenitor cells 	APOE, FABP4, CEBPB,CD36
Adipocytes	ADIPOQ,PLIN1,CAR3,ADIPOR1,FABP4
Neural crest cells	MBP,PLP1
Pericytes	RGS5,ACTA2,MCAM,PDGFRB
Smooth muscle cells	ACTA2,TAGLN,MYLK
Fibroblasts	LUM,DCN,COL1A2,COL1A1
Endothelial cells	CDH5,PECAM1,VWF
T cells	CD2,CD3D,TRAC,TRBC2
NK cells	KLRD1,NKG7,KLRC1,FCGR3A
B cells	MS4A1,CD79A,CD79B
Plasma cells	CD79A,JCHAIN,MZB1,IGHG1
Myeloid cells	LYZ,MNDA
Erythrocytes	HBB,HBA1,ALAS2,SNCA,CA1
