celltype	marker
Epithelial cells	EPCAM,CDH1,KRT8
Granulosa cells	AMH, HSD17B1, SERPINE2, GSTA1,CYP11A1,STAR
Theca cells	PTH1,APOD,APOC1,WFDC1,MATN2,COLEC11
Oocyte	ZP2, DDX4, SYCP3, SOX30,ZAR1, DAZL, YBX2,LHX8
Pericytes	RGS5,ACTA2,MCAM,PDGFRB
Smooth muscle cells	ACTA2,TAGLN,MYLK
Fibroblasts	LUM,DCN,COL1A2,COL1A1
Endothelial cells	CDH5,PECAM1,VWF,CLDN5
T cells	CD2,CD3D,TRAC,TRBC2
NK cells	KLRD1,NKG7,KLRC1,FCGR3A
B cells	MS4A1,CD79A,CD79B
Plasma cells	CD79A,JCHAIN,MZB1,IGHG1
Myeloid cells	LYZ,MNDA
Erythrocytes	HBB,HBA1,ALAS2,SNCA,CA1
