celltype	marker
Pleural mesothelial cells	KRT19,KRT18,KRT8,PDPN,MSLN
T cells	CD2,CD3D,TRAC,TRBC2
T cells	CCR7,LEF1,SELL,TCF7,CD4
T cells	CCR7,LEF1,SELL,TCF7,CD8A,CD8B
T cells	CD8A,CD8B,NKG7,GZMA
T cells	CD8A,CD8B,LAG3,CTLA4,TIGIT,PDCD1
T cells	FOXP3,IL2RA,CTLA4,IKZF2
T cells	MKI67,TOP2A
T cells	TRDC,TRGC1,TRGC2
NK cells	KLRD1,NKG7,KLRC1,FCGR3A
NK T cells	CD3D,CD3G,KLRD1,NKG7
B cells	MS4A1,CD79A,CD79B,IGHD,HLA-DRA
Plasma cells	CD79A,JCHAIN,MZB1,IGHG1
Myeloid cells	LYZ
Myeloid cells	CD14,FCN1,VCAN
Myeloid cells	CD1C,CD1E,FCER1A
Neutrophils	CSF3R,CXCR2,FCGR3B
Eosinophils	CLC
Basophils	CLC,CPA3,ENPP3,GATA2
Erythrocytes	HBB,HBA1,ALAS2,SNCA,CA1
