celltype	marker
Pericytes	RGS5,ACTA2,MCAM,PDGFRB
Smooth muscle cells	ACTA2,TAGLN,MYLK
Fibroblasts	LUM,DCN,COL1A2,COL1A1
Endothelial cells	CDH5,PECAM1,VWF
Epithelial cells	EPCAM,CDH1
Podocytes	NPHS2,PODXL,PTPRO
Mesangial cells	VCAM1,FN1,CTGF
Proximal tubule cells	CUBN,SLC13A1,LRP2,ALDOB
Loop of Henle cells	UMOD,SLC12A1,CLDN16
Distal tubule cells	CALB1,TRPM6,SLC12A3
Collecting tubule cells	TMEM213,PVALB,CLNK
Pelvic epithelial cells	SAA2,S100P
T cells	CD2,CD3D,TRAC,TRBC2
NK cells	KLRD1,NKG7,KLRC1,FCGR3A
NK T cells	CD3D,CD3G,KLRD1,NKG7,KLRC1,FCGR3A
B cells	MS4A1,CD79A,CD79B
Plasma cells	CD79A,JCHAIN,MZB1,IGHG1
Myeloid cells	LYZ,MNDA
Erythrocytes	HBB,HBA1,ALAS2,SNCA,CA1
