celltype	marker
Pericytes	Rgs5,Acta2,Mcam,Pdgfrb
Smooth muscle cells	Acta2,Tagln,Mylk
Fibroblasts	Lum,Dcn,Col1a2,Col1a1
Endothelial cells	Cdh5,Pecam1,Vwf
Gastric epithelial cells	Epcam,Cdh1
Goblet cells	Muc2,Itln1
Chief cells	Pga3,Pag4,Lipf
Pit_mucous_cells(PMC)	Muc5ac,Tff1
Mucous neck cells	Muc6,Tff2
Gland_mucous_cell (GMC)	Muc6,Tff2
parietal cells/oxyntic cells	Atp4a,Atp4b
Enteroendocrine cells 	Chga,Chgb
T cells	Cd2,Cd3d,Trac,Trbc2
NK cells	Klrd1,Nkg7,Klrc1,Fcgr3a
B cells	Ms4a1,Cd79a,Cd79b
Plasma cells	Cd79a,Jchain,Mzb1,Ighg1
Myeloid cells	Lyz,Mnda
Erythrocytes	Hbb,Hba1,Alas2,Snca,Ca1
